Country,Location,Activity,Fatal Y/N,Species
AUSTRALIA,Emerald Beach,Surfing,Y,White xhark
USA,off Grand Isle,"Fishing, fell in water",N,Unknown
USA,"Galveston Island, Galveston County",Boogie boarding,N,Unknown
USA,"Walton Beach Psrk, St. Lucie County",Surfing,N,Bull shark
CANADA,Cape Breton Island,Swimming,N,Unknown
AUSTRALIA,North Stradbroke Island  ,Harassing sharks,N,Unknown
USA,"New Smyrna Beach, Volusia County",Surfing,N,Unknown
USA,"Key Largo, Monroe County",Snorkeling,N,Unknown
USA,"Hilton Head Island, Beaufort County",,N,Blacktip shark
USA,"Ocean City, Worcester County",Swimming,N,Blacktip shark
USA,"Ponce Inlet, Volusia County",Fishing,N,Unknown
USA,Wrightsville Beach,Standing,N,Unknown
USA,"Tybee Island, Chatham County",Surfing,N,small blacktip shark
AUSTRALIA,Varanus Island,Fishing,N,"Sickelfin lemon shark, 3m"
USA,"Jones Beach, Nassau County",Swimming,N,A small shark
BRAZIL,Piedade,Squatting in the water,N,Unknown
THAILAND,Kung Krabaenbay Royal Département Study Center ,Moving captive shark,N,"Bull shark, +100kg"
USA,"Capitola Beach, Santa Cruz County",Surfing,N,Unknown
USA,"Near Patrick AFB, Brevard County",,N,Unknown
AUSTRALIA,Rottnest Island,Surfing,N,"White shark, 3m"
USA,"New Smyrna Beach, Volusia County",Boogie boarding,N,Unknown
SOUTH AFRICA,Jeffrey's Bay,Surfing,N,Unknown
USA,"Bathtub Beach, Martin County",Playing,N,"Spinner shark, 4'?"
USA,"46 miles off Mayport, Duval County",Spearfishing,Y,Unknown
BRAZIL,Piedade,Wading,Y,Unknown
AUSTRALIA,Crescent Head,Surfing,N,"White shark, 3m"
USA,"Ponce Inlet, Volusia County",Standing,N,2' to 3' shark
USA,"Catalina Island, Orange County",Canoeing,N,Unknown
USA,"Block Houe Beach, Brevard County",Surfing,NQ,Unknown
USA,"Ocean Isle, Brunswick County",Swimming,N,Unknown
USA,"Gray Whale Beach Cove State Beach, San Mateo County",Swimming,N,"White shark, 6' to 8'"
AUSTRALIA,Gum Tree Bay,Surfing,N,Unknown
USA,"Bethune Beach, Volusia County",Standing,N,Unknown
USA,"Grayton Beach State Park,   Walton County",Swimming,N,7' to 8' shark
USA,"New Smyrna Beach, Volusia County",Standing,N,Unknown
USA,"New Smyrna Beach, Volusia County",Standing,N,Unknown
ENGLAND,Littlehampton,Fishing,N,"Tope shark, 6'"
AUSTRALIA,Five Fingers Reef,Snorkeling,N,"Bronze whaler shark, 2 m"
NEW CALEDONIA,CHS Beach,Spearfishing,Y,Unknown
