Country,Location,Activity,Fatal Y/N,Species,Latitude,Longitude
USA,"Redington Beach, Pinellas County",,N,Unknown,27.8086364,-82.811214
USA,"Pacific Grove, Monterey County",Swimming,N,"White shark, 16'",36.6211149,-121.917794
AUSTRALIA,Yallingup,Surfing,N,"Bronze whaler shark, 2m",-33.6395258,115.0259595
AUSTRALIA,"Royal Perth Yacht Club, Swan River",Diving,N,Bull shark,-32.05,115.75
BELIZE,Off San Pedro,Spearfishing,N,5' shark,17.91598,-87.9659
MALDIVES,"Maafilaafushi Island, Lhaviyani Atoll ",Fishing,N,Unknown,5.38333,73.48333
FRENCH POLYNESIA,To'opua,,N,Unknown,-16.5178904,-151.7679823
USA,"Île de Saint Simon, Glynn County",Fishing,N,Atlantic blacktip shark,40.29867,-83.06797
THAILAND,Kamala Beach,Playing in the water,N,1m shark,7.9476833,98.2706549
FRENCH POLYNESIA,"Pointe des pêcheurs, Punaahuia",,N,"Tiger shark, 2 to 2.5m",-15.0,-140.0
USA,"Whale Harbor, Islamorada, Monroe County",,N,Unknown,24.9393802,-80.6106917
USA,"Gulf Shores, Baldwin County",Swimming,N,Unknown,30.2711224,-87.6893826
USA,"Higkand Beach, Palm Beach County",Standing,N,4' shark,26.64757,-80.43651
USA,Tutle Back Zoo,Feeding sharks & stingrays,N,Epaulette shark,36.097436,-93.984585
USA,Canaveral National Seashore,Kayaking,N,Unknown,44.320771,-83.724496
SOUTH AFRICA,LaLucia,,M,Unknown,-29.0,24.0
USA,"Lake Worth Beach, Palm Beach County",Fishing,N,Unknown,26.6159698,-80.0569927
COLUMBIA,La Piscinita,Swimming,Y,Tiger shark,12.5085897,-81.7296216
NEW ZEALAND,Cobden,Surfing,N,Unknown,-42.4355495,171.2132179
AUSTRALIA,Crowdy Baay,Surfing,N,Bull shark,-25.0,135.0
AUSTRALIA,Maroubra,Surfing,N,Unknown,-33.9453441,151.2456824
USA,"San Miguel Islandl, Santa Barbara County",Boogie boarding,Y,White shark,34.53834,-120.03078
AUSTRALIA,Redcliffe,Fihing,N,"Tiger shark, 3 m",-27.2268785,153.1129973
AUSTRALIA,"Buchan Point, Sydney",Swimming,Y,Unknown,-33.8585187,151.2037806
MEXICO,Yavaros,Surface Supplied  Diving,Y,3m shark,26.7040793,-109.5201077
USA,"Cocoa Beach, Brevard  County",Surfing,N,Unknown,28.3184107,-80.6094959
COSTA RICA,Playa Del Coco,Diving,N,"Bull shark, 3m",10.5579948,-85.692262
AUSTRALIA,"Beds, Wylie Bay, Esperance",Floating in inflatable pool ring,N,White shark,-33.86013,121.88259
AUSTRALIA,Warriewood,Swimming,N,Wobbegong shark,-33.690306,151.2942716
AUSTRALIA,Whalers Beach,Snorkeling,N,Wobbegong shark,-35.0913009,117.9430464
SOUTH AFRICA,"Off Beachbums, Tongaat",Fishing for sharks,N,Unknown,-29.57215,31.11682
NEW ZEALAND,"Friendly Bay, Oamaru",Swimming,N,Sevengill shark,-45.1053227,170.9726404
AUSTRALIA,"Hyams Beach, Jervis Bay",,N,Unknown,-35.1135765,150.6954555
AUSTRALIA,North Lancelin,Surfing,N,Unknown,-31.0062019,115.3274542
New Zealand,Pororari River,Swimming,N,Unknown,-42.13813,171.4138739
AUSTRALIA,Yarrabah,Spearfishing,N,Bull shark,-17.0172815,145.8746489
MEXICO,Mahahual,Diving,N,Unknown,18.7257298,-87.7072263
AUSTRALIA,Ocean Grove Beach,Swimmingq,N,Unknown,-33.7371588,151.3041018
AUSTRALIA,Ocean Grove  Beach,Swimming,N,Unknown,-33.7371588,151.3041018
USA,"Banyans, Kailua-Kona",Surfing,N,Blacktip reef shark,19.63927,-155.99024
BRAZIL,Boqueirão Beach,Playing,N,dogfish,-10.0,-55.0
USA,"Lahaina, Maui",Spearfishing,N,Unknown,20.87429,-156.67663
AUSTRALIA,"Port Beach, North Freemantle",Swimming,Y,Unknown,-25.0,135.0
BRAZIL,Ubatuba Beach,Swimming,N,Unknown,-10.0,-55.0
NEW ZEALAND,Taranaki,Surfing,N,Broadnose seven gill shark,-39.3848064,174.1973505
AUSTRALIA,Sudbury Island,Spearfishing,N,Unknown,-25.0,135.0
AUSTRALIA,"Hook Island, Whitsundays",Swimming,N,Unknown,-20.1189023,148.9134288
USA,"Fort Pierce State Park, St. Lucie County",Surfing,N,Unknown,27.4786987,-80.3030766
